2017-01-06 PASS PASS PASS 0 0 0 +1 00 1 1 
2017-01-07 PASS PASS FAIL 0 0 0 00 00 -1 0 
2017-01-08 FAIL PASS PASS 0 0 0 +1 00 0 0 
2017-01-09 PASS FAIL PASS 0 0 0 00 00 -1 -1 
2017-01-10 PASS PASS PASS 2 1 3 +1 00 7 6 
2017-01-11 PASS PASS PASS 4 1 2 00 +1 8 13 
2017-01-12 PASS PASS PASS 0 0 1 +1 +2 4 15 
2017-01-13 PASS PASS PASS 4 1 2 00 00 7 22 
2017-01-13 FAIL PASS PASS 0 0 0 00 +2 1 21 
2017-01-13 PASS PASS PASS 0 0 0 00 +1 1 21 
2017-01-13 PASS PASS PASS 0 0 0 00 00 0 21 
2017-01-13 PASS PASS PASS 2 0 1 00 00 3 24 
2017-01-13 PASS PASS PASS 2 1 0 00 00 3 27 
